Repository Agent Name,Repository Path,Repository Category,Match Type,Match Confidence,Original Author,Author GitHub,License,Original Source URL,Notes
incident-responder,agents/security/incident-responder.md,security,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
security-auditor,agents/security/security-auditor.md,security,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
ios-developer,agents/development-team/ios-developer.md,development-team,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
ui-ux-designer,agents/development-team/ui-ux-designer.md,development-team,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
mobile-developer,agents/development-team/mobile-developer.md,development-team,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
backend-architect,agents/development-team/backend-architect.md,development-team,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
frontend-developer,agents/development-team/frontend-developer.md,development-team,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
deployment-engineer,agents/devops-infrastructure/deployment-engineer.md,devops-infrastructure,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
devops-troubleshooter,agents/devops-infrastructure/devops-troubleshooter.md,devops-infrastructure,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
network-engineer,agents/devops-infrastructure/network-engineer.md,devops-infrastructure,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
terraform-specialist,agents/devops-infrastructure/terraform-specialist.md,devops-infrastructure,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
cloud-architect,agents/devops-infrastructure/cloud-architect.md,devops-infrastructure,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
legal-advisor,agents/business-marketing/legal-advisor.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
sales-automator,agents/business-marketing/sales-automator.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
risk-manager,agents/business-marketing/risk-manager.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
payment-integration,agents/business-marketing/payment-integration.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
content-marketer,agents/business-marketing/content-marketer.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
customer-support,agents/business-marketing/customer-support.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
business-analyst,agents/business-marketing/business-analyst.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
test-automator,agents/performance-testing/test-automator.md,performance-testing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
performance-engineer,agents/performance-testing/performance-engineer.md,performance-testing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
golang-pro,agents/programming-languages/golang-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
cpp-pro,agents/programming-languages/cpp-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
sql-pro,agents/programming-languages/sql-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
php-pro,agents/programming-languages/php-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
python-pro,agents/programming-languages/python-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
typescript-pro,agents/programming-languages/typescript-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
rust-pro,agents/programming-languages/rust-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
javascript-pro,agents/programming-languages/javascript-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
c-pro,agents/programming-languages/c-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
api-documenter,agents/documentation/api-documenter.md,documentation,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
data-scientist,agents/data-ai/data-scientist.md,data-ai,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
ai-engineer,agents/data-ai/ai-engineer.md,data-ai,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
quant-analyst,agents/data-ai/quant-analyst.md,data-ai,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match
