Repository Agent Name,Repository Path,Repository Category,Match Type,Match Confidence,Original Author,Author GitHub,License,Original Source URL,Notes
metadata-agent,agents/obsidian-ops-team/metadata-agent.md,obsidian-ops-team,no_match,none,Unknown,,Unknown,,Not from wshobson
connection-agent,agents/obsidian-ops-team/connection-agent.md,obsidian-ops-team,no_match,none,Unknown,,Unknown,,Not from wshobson
content-curator,agents/obsidian-ops-team/content-curator.md,obsidian-ops-team,no_match,none,Unknown,,Unknown,,Not from wshobson
moc-agent,agents/obsidian-ops-team/moc-agent.md,obsidian-ops-team,no_match,none,Unknown,,Unknown,,Not from wshobson
vault-optimizer,agents/obsidian-ops-team/vault-optimizer.md,obsidian-ops-team,no_match,none,Unknown,,Unknown,,Not from wshobson
tag-agent,agents/obsidian-ops-team/tag-agent.md,obsidian-ops-team,no_match,none,Unknown,,Unknown,,Not from wshobson
review-agent,agents/obsidian-ops-team/review-agent.md,obsidian-ops-team,no_match,none,Unknown,,Unknown,,Not from wshobson
markdown-syntax-formatter,agents/ocr-extraction-team/markdown-syntax-formatter.md,ocr-extraction-team,no_match,none,Unknown,,Unknown,,Not from wshobson
visual-analysis-ocr,agents/ocr-extraction-team/visual-analysis-ocr.md,ocr-extraction-team,no_match,none,Unknown,,Unknown,,Not from wshobson
text-comparison-validator,agents/ocr-extraction-team/text-comparison-validator.md,ocr-extraction-team,no_match,none,Unknown,,Unknown,,Not from wshobson
ocr-grammar-fixer,agents/ocr-extraction-team/ocr-grammar-fixer.md,ocr-extraction-team,no_match,none,Unknown,,Unknown,,Not from wshobson
ocr-preprocessing-optimizer,agents/ocr-extraction-team/ocr-preprocessing-optimizer.md,ocr-extraction-team,no_match,none,Unknown,,Unknown,,Not from wshobson
ocr-quality-assurance,agents/ocr-extraction-team/ocr-quality-assurance.md,ocr-extraction-team,no_match,none,Unknown,,Unknown,,Not from wshobson
document-structure-analyzer,agents/ocr-extraction-team/document-structure-analyzer.md,ocr-extraction-team,no_match,none,Unknown,,Unknown,,Not from wshobson
api-security-audit,agents/security/api-security-audit.md,security,no_match,none,Unknown,,Unknown,,Not from wshobson
compliance-specialist,agents/security/compliance-specialist.md,security,no_match,none,Unknown,,Unknown,,Not from wshobson
penetration-tester,agents/security/penetration-tester.md,security,no_match,none,Unknown,,Unknown,,Not from wshobson
fullstack-developer,agents/development-team/fullstack-developer.md,development-team,no_match,none,Unknown,,Unknown,,Not from wshobson
cli-ui-designer,agents/development-team/cli-ui-designer.md,development-team,no_match,none,Unknown,,Unknown,,Not from wshobson
devops-engineer,agents/development-team/devops-engineer.md,development-team,no_match,none,Unknown,,Unknown,,Not from wshobson
security-engineer,agents/devops-infrastructure/security-engineer.md,devops-infrastructure,no_match,none,Unknown,,Unknown,,Not from wshobson
vercel-deployment-specialist,agents/devops-infrastructure/vercel-deployment-specialist.md,devops-infrastructure,no_match,none,Unknown,,Unknown,,Not from wshobson
monitoring-specialist,agents/devops-infrastructure/monitoring-specialist.md,devops-infrastructure,no_match,none,Unknown,,Unknown,,Not from wshobson
marketing-attribution-analyst,agents/business-marketing/marketing-attribution-analyst.md,business-marketing,no_match,none,Unknown,,Unknown,,Not from wshobson
product-strategist,agents/business-marketing/product-strategist.md,business-marketing,no_match,none,Unknown,,Unknown,,Not from wshobson
web-vitals-optimizer,agents/performance-testing/web-vitals-optimizer.md,performance-testing,no_match,none,Unknown,,Unknown,,Not from wshobson
react-performance-optimization,agents/performance-testing/react-performance-optimization.md,performance-testing,no_match,none,Unknown,,Unknown,,Not from wshobson
load-testing-specialist,agents/performance-testing/load-testing-specialist.md,performance-testing,no_match,none,Unknown,,Unknown,,Not from wshobson
supabase-realtime-optimizer,agents/realtime/supabase-realtime-optimizer.md,realtime,no_match,none,Unknown,,Unknown,,Not from wshobson
report-generator,agents/deep-research-team/report-generator.md,deep-research-team,no_match,none,Unknown,,Unknown,,Not from wshobson
