Repository Agent Name,Repository Path,Repository Category,Match Type,Match Confidence,Original Author,Author GitHub,License,Original Source URL,Notes,Content Similarity,Wshobson Source URL,Verification Status,Content Similarity,Wshobson Source URL,Verification Status
incident-responder,agents/security/incident-responder.md,security,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,N/A,Not found,not_found,N/A,Not found,not_found
sales-automator,agents/business-marketing/sales-automator.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,N/A,Not found,not_found,N/A,Not found,not_found
risk-manager,agents/business-marketing/risk-manager.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,N/A,Not found,not_found,N/A,Not found,not_found
payment-integration,agents/business-marketing/payment-integration.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,N/A,Not found,not_found,N/A,Not found,not_found
content-marketer,agents/business-marketing/content-marketer.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,N/A,Not found,not_found,N/A,Not found,not_found
customer-support,agents/business-marketing/customer-support.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,N/A,Not found,not_found,N/A,Not found,not_found
quant-analyst,agents/data-ai/quant-analyst.md,data-ai,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,N/A,Not found,not_found,N/A,Not found,not_found
architect-review,agents/expert-advisors/architect-review.md,expert-advisors,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,N/A,Not found,not_found,N/A,Not found,not_found
legacy-modernizer,agents/modernization/legacy-modernizer.md,modernization,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,N/A,Not found,not_found,N/A,Not found,not_found
search-specialist,agents/ai-specialists/search-specialist.md,ai-specialists,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,N/A,Not found,not_found,N/A,Not found,not_found
error-detective,agents/development-tools/error-detective.md,development-tools,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,N/A,Not found,not_found,N/A,Not found,not_found
context-manager,agents/development-tools/context-manager.md,development-tools,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,N/A,Not found,not_found,N/A,Not found,not_found
database-optimizer,agents/database/database-optimizer.md,database,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,N/A,Not found,not_found,N/A,Not found,not_found
database-admin,agents/database/database-admin.md,database,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,N/A,Not found,not_found,N/A,Not found,not_found
