Repository Command Name,Repository Path,Repository Category,Awesome-Claude-Code Display Name,Original Author,Author GitHub,License,Original Source URL,Awesome-Claude-Code Category,Match Type,Match Confidence,Description,Awesome-Claude-Code ID
optimize,commands/orchestration/optimize.md,orchestration,/optimize,to4iki,https://github.com/to4iki,MIT,https://github.com/to4iki/ai-project-rules/blob/main/.claude/commands/optimize.md,Code Analysis & Testing,exact_match,high,"Analyzes code performance to identify bottlenecks, proposing concrete optimizations with implementation guidance for improved application performance.",cmd-c76ed84c
commit,commands/orchestration/commit.md,orchestration,/commit,evmts,https://github.com/evmts,MIT,https://github.com/evmts/tevm-monorepo/blob/main/.claude/commands/commit.md,Version Control & Git,exact_match,high,"Creates git commits using conventional commit format with appropriate emojis, following project standards and creating descriptive messages that explain the purpose of changes.",cmd-b6a797df
update-docs,commands/documentation/update-docs.md,documentation,/update-docs,Consiliency,https://github.com/Consiliency,MIT,https://github.com/Consiliency/Flutter-Structurizr/blob/main/.claude/commands/update-docs.md,Documentation & Changelogs,exact_match,high,"Reviews current documentation status, updates implementation progress, reviews phase documents, and maintains documentation consistency across the project.",cmd-7767f28f
load-llms-txt,commands/documentation/load-llms-txt.md,documentation,/load-llms-txt,ethpandaops,https://github.com/ethpandaops,MIT,https://github.com/ethpandaops/xatu-data/blob/master/.claude/commands/load-llms-txt.md,Context Loading & Priming,exact_match,high,"Loads LLM configuration files to context, importing specific terminology, model configurations, and establishing baseline terminology for AI discussions.",cmd-e7fde689
initref,commands/utilities/initref.md,utilities,/initref,okuvshynov,https://github.com/okuvshynov,MIT,https://github.com/okuvshynov/cubestat/blob/main/.claude/commands/initref.md,Context Loading & Priming,exact_match,high,"Initializes reference documentation structure with standard doc templates, API reference setup, documentation conventions, and placeholder content generation.",cmd-82556482
prime,commands/utilities/prime.md,utilities,/prime,yzyydev,https://github.com/yzyydev,NOT_FOUND,https://github.com/yzyydev/AI-Engineering-Structure/blob/main/.claude/commands/prime.md,Context Loading & Priming,exact_match,high,"Sets up initial project context by viewing directory structure and reading key files, creating standardized context with directory visualization and key documentation focus.",cmd-f4c7bb3c
clean,commands/utilities/clean.md,utilities,/clean,Graphlet-AI,https://github.com/Graphlet-AI,Apache-2.0,https://github.com/Graphlet-AI/eridu/blob/main/.claude/commands/clean.md,Code Analysis & Testing,exact_match,high,"Addresses code formatting and quality issues by fixing black formatting problems, organizing imports with isort, resolving flake8 linting issues, and correcting mypy type errors.",cmd-9944dc47
fix-issue,commands/utilities/fix-issue.md,utilities,/fix-issue,metabase,https://github.com/metabase,NOASSERTION,https://github.com/metabase/metabase/blob/master/.claude/commands/fix-issue.md,Version Control & Git,exact_match,high,"Addresses GitHub issues by taking issue number as parameter, analyzing context, implementing solution, and testing/validating the fix for proper integration.",cmd-85f39721
context-prime,commands/utilities/context-prime.md,utilities,/context-prime,elizaOS,https://github.com/elizaOS,MIT,https://github.com/elizaOS/elizaos.github.io/blob/main/.claude/commands/context-prime.md,Context Loading & Priming,exact_match,high,"Primes Claude with comprehensive project understanding by loading repository structure, setting development context, establishing project goals, and defining collaboration parameters.",cmd-01b57069
create-pull-request,commands/git-workflow/create-pull-request.md,git-workflow,/create-pull-request,liam-hq,https://github.com/liam-hq,Apache-2.0,https://github.com/liam-hq/liam/blob/main/.claude/commands/create-pull-request.md,Version Control & Git,exact_match,high,"Provides comprehensive PR creation guidance with GitHub CLI, enforcing title conventions, following template structure, and offering concrete command examples with best practices.",cmd-6f066b19
create-worktrees,commands/git-workflow/create-worktrees.md,git-workflow,/create-worktrees,evmts,https://github.com/evmts,MIT,https://github.com/evmts/tevm-monorepo/blob/main/.claude/commands/create-worktrees.md,Version Control & Git,exact_match,high,"Creates git worktrees for all open PRs or specific branches, handling branches with slashes, cleaning up stale worktrees, and supporting custom branch creation for development.",cmd-54c60a04
pr-review,commands/git-workflow/pr-review.md,git-workflow,/pr-review,arkavo-org,https://github.com/arkavo-org,MIT,https://github.com/arkavo-org/opentdf-rs/blob/main/.claude/commands/pr-review.md,Version Control & Git,exact_match,high,"Reviews pull request changes to provide feedback, check for issues, and suggest improvements before merging into the main codebase.",cmd-7f51ad4d
fix-github-issue,commands/git-workflow/fix-github-issue.md,git-workflow,/fix-github-issue,jeremymailen,https://github.com/jeremymailen,Apache-2.0,https://github.com/jeremymailen/kotlinter-gradle/blob/master/.claude/commands/fix-github-issue.md,Version Control & Git,exact_match,high,"Analyzes and fixes GitHub issues using a structured approach with GitHub CLI for issue details, implementing necessary code changes, running tests, and creating proper commit messages.",cmd-d39b623d
