Repository Agent Name,Repository Path,Repository Category,Match Type,Match Confidence,Original Author,Author GitHub,License,Original Source URL,Notes,Content Similarity,Wshobson Source URL,Verification Status
security-auditor,agents/security/security-auditor.md,security,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,85.42%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/security-compliance/agents/security-auditor.md,verified
ios-developer,agents/development-team/ios-developer.md,development-team,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,76.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/multi-platform-apps/agents/ios-developer.md,verified
ui-ux-designer,agents/development-team/ui-ux-designer.md,development-team,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,82.61%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/multi-platform-apps/agents/ui-ux-designer.md,verified
mobile-developer,agents/development-team/mobile-developer.md,development-team,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,79.17%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/frontend-mobile-development/agents/mobile-developer.md,verified
backend-architect,agents/development-team/backend-architect.md,development-team,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,78.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/api-scaffolding/agents/backend-architect.md,verified
frontend-developer,agents/development-team/frontend-developer.md,development-team,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,79.59%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/application-performance/agents/frontend-developer.md,verified
deployment-engineer,agents/devops-infrastructure/deployment-engineer.md,devops-infrastructure,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,80.85%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/cicd-automation/agents/deployment-engineer.md,verified
devops-troubleshooter,agents/devops-infrastructure/devops-troubleshooter.md,devops-infrastructure,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,79.17%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/cicd-automation/agents/devops-troubleshooter.md,verified
network-engineer,agents/devops-infrastructure/network-engineer.md,devops-infrastructure,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,79.17%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/cloud-infrastructure/agents/network-engineer.md,verified
terraform-specialist,agents/devops-infrastructure/terraform-specialist.md,devops-infrastructure,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,81.25%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/cicd-automation/agents/terraform-specialist.md,verified
cloud-architect,agents/devops-infrastructure/cloud-architect.md,devops-infrastructure,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,80.43%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/cicd-automation/agents/cloud-architect.md,verified
legal-advisor,agents/business-marketing/legal-advisor.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/hr-legal-compliance/agents/legal-advisor.md,verified
business-analyst,agents/business-marketing/business-analyst.md,business-marketing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,67.74%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/business-analytics/agents/business-analyst.md,verified
test-automator,agents/performance-testing/test-automator.md,performance-testing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,86.67%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/performance-testing-review/agents/test-automator.md,verified
performance-engineer,agents/performance-testing/performance-engineer.md,performance-testing,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,85.11%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/application-performance/agents/performance-engineer.md,verified
golang-pro,agents/programming-languages/golang-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,77.08%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/systems-programming/agents/golang-pro.md,verified
cpp-pro,agents/programming-languages/cpp-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/systems-programming/agents/cpp-pro.md,verified
sql-pro,agents/programming-languages/sql-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,85.11%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/database-design/agents/sql-pro.md,verified
php-pro,agents/programming-languages/php-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,100.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/web-scripting/agents/php-pro.md,verified
python-pro,agents/programming-languages/python-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,81.48%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/python-development/agents/python-pro.md,verified
typescript-pro,agents/programming-languages/typescript-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,90.48%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/javascript-typescript/agents/typescript-pro.md,verified
rust-pro,agents/programming-languages/rust-pro.md,programming-languages,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,76.60%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/systems-programming/agents/rust-pro.md,verified
