Repository Agent Name,Repository Path,Repository Category,Match Type,Match Confidence,Original Author,Author GitHub,License,Original Source URL,Notes,Content Similarity,Wshobson Source URL,Wshobson Path,Verification Status
incident-responder,agents/security/incident-responder.md,security,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,93.33%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/incident-response/agents/incident-responder.md,plugins/incident-response/agents/incident-responder.md,verified
security-auditor,agents/security/security-auditor.md,security,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,85.42%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/comprehensive-review/agents/security-auditor.md,plugins/comprehensive-review/agents/security-auditor.md,verified
ios-developer,agents/development-team/ios-developer.md,development-team,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,76.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/multi-platform-apps/agents/ios-developer.md,plugins/multi-platform-apps/agents/ios-developer.md,verified
ui-ux-designer,agents/development-team/ui-ux-designer.md,development-team,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,82.61%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/multi-platform-apps/agents/ui-ux-designer.md,plugins/multi-platform-apps/agents/ui-ux-designer.md,verified
mobile-developer,agents/development-team/mobile-developer.md,development-team,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,79.17%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/frontend-mobile-development/agents/mobile-developer.md,plugins/frontend-mobile-development/agents/mobile-developer.md,verified
backend-architect,agents/development-team/backend-architect.md,development-team,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,78.00%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/api-scaffolding/agents/backend-architect.md,plugins/api-scaffolding/agents/backend-architect.md,verified
frontend-developer,agents/development-team/frontend-developer.md,development-team,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,79.59%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/application-performance/agents/frontend-developer.md,plugins/application-performance/agents/frontend-developer.md,verified
deployment-engineer,agents/devops-infrastructure/deployment-engineer.md,devops-infrastructure,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,80.85%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/cicd-automation/agents/deployment-engineer.md,plugins/cicd-automation/agents/deployment-engineer.md,verified
devops-troubleshooter,agents/devops-infrastructure/devops-troubleshooter.md,devops-infrastructure,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,79.17%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/cicd-automation/agents/devops-troubleshooter.md,plugins/cicd-automation/agents/devops-troubleshooter.md,verified
network-engineer,agents/devops-infrastructure/network-engineer.md,devops-infrastructure,exact_match,high,wshobson,https://github.com/wshobson,MIT,https://github.com/wshobson/agents,Exact name match,79.17%,https://raw.githubusercontent.com/wshobson/agents/main/plugins/cloud-infrastructure/agents/network-engineer.md,plugins/cloud-infrastructure/agents/network-engineer.md,verified
